moment,duration,age,race,gender,reflection,id,concepts,Confidence
I helped my good friend solve a difficult relationship problem. The couple subsequently thank me for enlightening them and treat me to a meal which I gladly accepted,All day,45-54 years old,Chinese,Male,24 h,6075,Family,0.776
I help a college who fall and hurt his head and need to send to hospital for treatment,All day,65+ years old,Chinese,Male,24 h,6076,,
"One happy moment in the past 24 hours was when I treated myself to a meat platter consisting of roast duck, roast pork and char siew with rice. It was a fulfilling meal and it made me happy.",Half a day,45-54 years old,Chinese,Male,24 h,6077,Food,0.806
One happy moment in the past 24 hours was when i saw the BTS teaser photo.,All day,25-34 years old,Chinese,Male,24 h,6078,Entertainment,0.55
away from Singapore in a natural nation with lesser people,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6079,,
One happy moment in the past 24 hours was when I had a staycay with my partner. It was fun.,All day,18-24 years old,Chinese,Female,24 h,6080,Entertainment|Romance,0.831|0.82
WIth my mother,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6081,Family,0.818
"I have not experienced any moment which made me happy. We are in the midst of a pandemic, how happy can we be?",A few minutes,55-64 years old,Chinese,Female,24 h,6082,,
I celebrated Mother�s Day yesterday with my love ones.,Half a day,45-54 years old,Chinese,Female,24 h,6083,Family,0.728
When I saw a good bargain on an e-commerce platform.,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6084,,
One happy moment in the past 24 hours was when i found out that I've finally pass my driving licence after the 4th attempt.,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6085,Career,0.799
One happy moment in the past 24 hours was when my order for a Nintendo Switch arrived.,At least one hour,18-24 years old,Malay,Female,24 h,6086,Entertainment,0.547
I look forward weekend because it is family day,All day,45-54 years old,Chinese,Male,24 h,6087,Family,0.841
when my children ask me about my health,A few minutes,65+ years old,Chinese,Male,24 h,6088,Family,0.85
When I am with myfamily,At least one hour,18-24 years old,Chinese,Female,24 h,6089,Family,0.502
I was making sushi and sandwiches with my girlfriend,Half a day,18-24 years old,Chinese,Male,24 h,6090,Food,0.624
Receiving money from a debtor,A few minutes,25-34 years old,Chinese,Female,24 h,6091,Career,0.807
"I finish my run.  ",All day,18-24 years old,Chinese,Male,24 h,6092,,
"Video calling my wife during my lunch break at work. ",I'm still feeling it,25-34 years old,Chinese,Male,24 h,6093,Family,0.757
Was when my children wish me a happy mothers day and a small token of appreciation. Feeling appreciated.,A few minutes,55-64 years old,Malay,Female,24 h,6094,Family,0.865
One happy moment in the past 24 hours was when I managed to help my friend with a task that he was working on.,A few minutes,45-54 years old,Chinese,Male,24 h,6095,Entertainment,0.608
Not much work to be done,Half a day,45-54 years old,Chinese,Male,24 h,6096,,
One happy.moment was when my.son did well in his math test,All day,45-54 years old,Chinese,Female,24 h,6097,Education|Family,0.86|0.844
I stepped away from my work cubicle after a 10-hour long shift doing work I had no interest in but was merely tolerating for the pay,A few minutes,55-64 years old,Chinese,Male,24 h,6098,,
Having made a difference to other's life through volunteering.,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6099,,
Upon successful projects done.,At least one hour,55-64 years old,Chinese,Male,24 h,6100,,
"Went for a long trail walk with my daughter yesterday for Mother's Day ",All day,45-54 years old,Chinese,Female,24 h,6101,Family,0.608
Spend the whole day with a close friend of mine to dissolve his problem,Half a day,45-54 years old,Chinese,Male,24 h,6102,Family,0.726
No I was so depressed these days,Other|,35-44 years old,Chinese,Female,24 h,6103,Family,0.589
Playing with my son,A few minutes,45-54 years old,Chinese,Female,24 h,6104,Family,0.773
"I celebrated Mother's Day with my mum, siblings and my daughters.",At least one hour,45-54 years old,Chinese,Female,24 h,6105,Family,0.937
I have completed a 2 days course,Half a day,45-54 years old,Chinese,Male,24 h,6106,Education,0.591
I managed to bake a butter cake on my own without my mother's help.,At least one hour,45-54 years old,Chinese,Female,24 h,6107,Family|Food,0.663|0.577
"Happy to see my twin grand-nieces growing taller, playful, getting to know words, speaking intelligently.",I'm still feeling it,55-64 years old,Chinese,Male,24 h,6108,Family,0.752
The happiest monent was our first holiday together as a married couple to UK.,At least one hour,55-64 years old,Chinese,Female,24 h,6109,Family,0.648
my dad gave me my first dog.,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6110,Family,0.821
I saw a lost 5 year old girl in tears in the hypermart and lead her to the Customer Service counter where she reunited with her mother,At least one hour,45-54 years old,Chinese,Female,24 h,6111,Family,0.713
Having dinner with my family,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6112,Food|Family,0.773|0.626
i buy sales item.,A few minutes,55-64 years old,Chinese,Female,24 h,6113,,
Able to mingle fantastically well with customers,All day,45-54 years old,Chinese,Female,24 h,6114,Family,0.576
I am happy that I was able to go out on Sunday with my friends as I have been confined at home as my mum was not well since March 2021.,Half a day,45-54 years old,Chinese,Male,24 h,6115,Family,0.575
One happy moment in the past 24hours is spending time with my bf playing game,All day,18-24 years old,Chinese,Female,24 h,6116,Family|Entertainment|Conversation,0.69|0.65|0.638
i was able to fall in sleep on time and gain enough sleep over the weekend.,At least one hour,25-34 years old,Chinese,Male,24 h,6117,,
The dinner food bought was better than expected.,A few minutes,45-54 years old,Malay,Male,24 h,6118,Food,0.756
one happy moment in the past 24 hours was when my friend celebrated my birthday and gave me a birthday present,I'm still feeling it,18-24 years old,Chinese,Male,24 h,6119,Family|Entertainment,0.613|0.521
Playing with partner,At least one hour,45-54 years old,Chinese,Female,24 h,6120,Family|Entertainment,0.589|0.505
I made love to a beautiful lady I tasted the best wine,All day,45-54 years old,Chinese,Male,24 h,6121,Family,0.606
I managed to successfully profit from my Bitcoin online trades.,All day,25-34 years old,Malay,Male,24 h,6122,Career,0.873
Spending quality time with the family.,Half a day,55-64 years old,Chinese,Male,24 h,6123,Family,0.931
"i dont think i had a happy moment in the past 24 hours except maybe when i was eating snacks. but is that really happiness? its just food, and i ate too much.",A few minutes,18-24 years old,Chinese,Female,24 h,6124,Food,0.766
"Life isn't that bad, with friends and my families along",A few minutes,45-54 years old,Chinese,Male,24 h,6125,Family,0.778
Getting out of the house for an unscheduled evening walk,At least one hour,55-64 years old,Chinese,Male,24 h,6126,Exercise,0.838
funny way of talking by son,A few minutes,45-54 years old,Chinese,Male,24 h,6127,Family,0.753
the day I make my early retirement come true,I'm still feeling it,65+ years old,Chinese,Female,24 h,6128,Family,0.734
Spending the whole day lazing in bed and watching drama,All day,18-24 years old,Chinese,Female,24 h,6129,Family,0.653
none I can think of,Other|,55-64 years old,Chinese,Male,24 h,6130,,
My husband wants a cuddle and loving moment with me after work.,I'm still feeling it,25-34 years old,Malay,Female,24 h,6131,Family,0.663
I have learned how to make my ice cream and also very happy that I am also successful make my own jam for daily breakfast spread.,At least one hour,55-64 years old,Chinese,Female,24 h,6132,Food,0.738
My health continues to be healthy,All day,55-64 years old,Chinese,Male,24 h,6133,Food,0.525
I received some pleasant photos of overseas friends hiking in a natural setting.,A few minutes,55-64 years old,Other|,Male,24 h,6134,,
My wife got accepted in a masters programme.,Half a day,45-54 years old,Other|,Male,24 h,6135,Education,0.519
my crush kissed me,All day,18-24 years old,Chinese,Female,24 h,6136,,
when i get married and delivered my child successfuly,I'm still feeling it,25-34 years old,Other|,Female,24 h,6137,,
I finished a tiring event that i have been planning for over 1 year.,A few minutes,18-24 years old,Chinese,Male,24 h,6138,,
I am happy that I am still alive and I am able to do any activities with good health and mobility...,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6139,,
Having the good moments in time with friends as well as family.,I'm still feeling it,45-54 years old,Malay,Male,24 h,6140,Family,0.853
To complete my house work and have time to rest,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6141,Family,0.503
Completed a 10km run last evening and was happy about it. Likely due to the endorphins released.,At least one hour,55-64 years old,Chinese,Male,24 h,6142,,
Recently my niece invited me to a movie. I am happy and look forward to it as ii have not seen a movie for a few years.,All day,55-64 years old,Chinese,Female,24 h,6143,Family,0.731
My boss praised me for doing a good job at work.,A few minutes,45-54 years old,Chinese,Male,24 h,6144,Family,0.598
My daughter coming up with jokes Called for an interview,I'm still feeling it,45-54 years old,Indian,Female,24 h,6145,Family,0.85
One happy moment when my application for course is successful,At least one hour,45-54 years old,Chinese,Female,24 h,6146,Education,0.509
"Chatting in the car with my son and hubby,little jokes made me happy and contented.",All day,45-54 years old,Chinese,Female,24 h,6147,Family,0.695
Cant remember,A few minutes,65+ years old,Chinese,Female,24 h,6148,,
"I received a new photo of a friends child, whom we love. Very happy to see him in a naughty mood.",I'm still feeling it,65+ years old,Indian,Male,24 h,6149,Family,0.808
mother day celebration for me,Half a day,45-54 years old,Chinese,Female,24 h,6150,Family,0.851
"Met up with good old friends and enjoying few glasses of beer, recollecting happy moments during our younger days.",Half a day,55-64 years old,Chinese,Male,24 h,6151,Family,0.71
cannot recall any,Other|,45-54 years old,Chinese,Female,24 h,6152,,
My wife and kids joked and fool around with me just before bedtime.,At least one hour,45-54 years old,Chinese,Male,24 h,6153,Family,0.774
First moment| The very first moment in the past 24 hours was when in coincide with Mother's Day...We got a very very suprised message from my only daughter that she is expecting another child. Truly A Blessing! Amiin...<U+0001F64F>,I'm still feeling it,55-64 years old,Other|,Male,24 h,6154,Family,0.815
My most happy moments for the past 24 hours is the feel of having a intimidating together-ness with romantic feeling.,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6155,Romance,0.511
One happy moment in the past 24 hours was when eating my favorite ice-cream while watching TV.,A few minutes,45-54 years old,Chinese,Female,24 h,6156,Entertainment|Food,0.695|0.646
Grandson came to visit me,All day,65+ years old,Chinese,Male,24 h,6157,Family,0.8
"First event happened yesterday, was the first time my daughter treat me a mother's day dinner.",I'm still feeling it,45-54 years old,Chinese,Female,24 h,6158,Family,0.888
I know I have control over my health.,I'm still feeling it,55-64 years old,Chinese,Male,24 h,6159,,
"MY SON'S WEDDING WHICH WAS HELD RECENTLY. DESPITE THE PANDEMIC, HE MANAGED TO PULL IT OFF BESUTIFULLY.",All day,55-64 years old,Chinese,Male,24 h,6160,Family,0.639
Able to match the buyer n seller requirements for small transaction to move forward,I'm still feeling it,65+ years old,Chinese,Female,24 h,6161,Career,0.84
I strike 4D in yesterday's draw,All day,55-64 years old,Chinese,Male,24 h,6162,,
Reading an article relating to a charitable act by a common citizen,A few minutes,45-54 years old,Chinese,Female,24 h,6163,Career,0.564
when celebrating a birthday with the whole family,Half a day,55-64 years old,Chinese,Male,24 h,6164,Family|Food,0.885|0.551
When everything goes as plan with no hiccups and disasters,Half a day,65+ years old,Chinese,Female,24 h,6165,Exercise,0.552
One happy moment in the past 24 hours was when I enjoyed a shared meal with 4 other friends who also like spicy food.,I'm still feeling it,25-34 years old,Chinese,Female,24 h,6166,Food,0.824
"I had Korean for lunch, I got my proposed FYP",At least one hour,18-24 years old,Chinese,Female,24 h,6167,Food|Family,0.775|0.562
When my children wish me happy mother�s day,A few minutes,45-54 years old,Chinese,Female,24 h,6168,Family,0.852
Happy and contented,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6169,Family,0.662
One happy moment in the past 24 hours was when I saw my son sleeping peaceful.,I'm still feeling it,25-34 years old,Malay,Female,24 h,6170,Family,0.592
Good bonding time with my sons on Mother's Day.,All day,55-64 years old,Chinese,Female,24 h,6171,Family,0.887
No happy moments last 2 days,Other|,45-54 years old,Chinese,Female,24 h,6172,Family,0.578
Sunday worship service,Half a day,45-54 years old,Chinese,Female,24 h,6173,Family,0.587
my boy spoke at length with me about something he enjoyed very much.,At least one hour,45-54 years old,Chinese,Male,24 h,6174,Family,0.574
When I was at my grandma house spending time with her. she remembered things that she have already forgotten and that made me very happy,I'm still feeling it,18-24 years old,Indian,Female,24 h,6175,Family,0.863
earn reward from survey,All day,55-64 years old,Chinese,Male,24 h,6176,,
The day my daughter graduation at NUS. I get my bonus last month.,All day,55-64 years old,Chinese,Male,24 h,6177,Family|Education,0.707|0.511
"Every moment is happy, not just one or two occasions. so can't really name a few...",I'm still feeling it,45-54 years old,Chinese,Male,24 h,6178,,
I went for our usual relaxing Sunday walk with my kids. We recce the Chestnut trial and had lunch at Subway after the walk. It was Mother's Day and my kids randomly wished my. I like that there was no effort put in but it came straight from their hearts whilst we were eating.,I'm still feeling it,45-54 years old,Chinese,Female,24 h,6179,Food|Family,0.748|0.546
I am happy and contented that my children have grown up and able to care for their family.,I'm still feeling it,65+ years old,Chinese,Male,24 h,6180,Family,0.801
Having lunch with my family.,At least one hour,18-24 years old,Chinese,Male,24 h,6181,Food|Family,0.768|0.724
knowing a friend has solve his problem,At least one hour,65+ years old,Chinese,Female,24 h,6182,Family,0.515
"One happy moment in the past 24 hours was when I went out with my friends for a meal because Covid-19 has limited outings and venues for enjoyment, so every moment with friends is more special than before.",At least one hour,55-64 years old,Other|,Male,24 h,6183,Conversation,0.521
Watching my 1-year old grandson take his first step (unsupported),At least one hour,55-64 years old,Chinese,Female,24 h,6184,Family,0.815
the family celebrated mothers day for me. They showered me with lots of love. Really appreciate that moment of surprise.,I'm still feeling it,65+ years old,Chinese,Female,24 h,6185,Family,0.86
I had good with 2 friends we go swimming,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6186,,
With my grandson,At least one hour,55-64 years old,Chinese,Male,24 h,6187,Family,0.835
When I won first place in an online game.,A few minutes,18-24 years old,Chinese,Female,24 h,6188,,
I saw a little mynah on a grass patch chirping loudly and seeming to enjoy the sun.,A few minutes,55-64 years old,Chinese,Female,24 h,6189,Animals,0.837
things went in my favour and in quick time.,A few minutes,55-64 years old,Chinese,Male,24 h,6190,,
I was able to make a deal to someone,A few minutes,45-54 years old,Chinese,Male,24 h,6191,Career,0.84
One happy moment in the past 24 hours was when Chelsea won against Manchester City in the final minutes. I won some money.,All day,18-24 years old,Chinese,Male,24 h,6192,Career|Entertainment|Romance,0.557|0.547|0.515
I managed to get my court booking.,A few minutes,55-64 years old,Chinese,Male,24 h,6193,,
My happy moment is when my students asked why I did not come in to teach them on one of the days.,Half a day,45-54 years old,Other|,Female,24 h,6194,Family|Education,0.797|0.519
One happy moment in the past 24 hours was when I woke up early enough to eat breakfast with my parents.,All day,18-24 years old,Chinese,Female,24 h,6195,Food|Family,0.843|0.791
When my 2 boys prayed together with me.,A few minutes,45-54 years old,Other|,Female,24 h,6196,Family,0.709
Met my favourite Supermarket staff while shopping.,At least one hour,55-64 years old,Chinese,Male,24 h,6197,Family|Food,0.574|0.568
WHENEVER I RECEIVED NEWS OF ANY ABSENTED FAMILY MEMBERS I BECAME EXCITED AND HAPPY WITHIN ME.,I'm still feeling it,65+ years old,Chinese,Female,24 h,6198,Family,0.813
Getting my chores done,At least one hour,45-54 years old,Chinese,Female,24 h,6199,Family|Exercise,0.558|0.5
i can get the peace i want and everyone near me is also enjoying the joy and happiness I am going through,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6200,,
My daughter returned safely from a 15_day conservation trip. It was a hardship tour with little resources on the island off Western Australia.,Half a day,55-64 years old,Chinese,Female,24 h,6201,,
Getting a new job,I'm still feeling it,45-54 years old,Chinese,Male,24 h,6202,,
my children looked so happy doing a selfie with me celebrating mother's day with a cake !,All day,65+ years old,Chinese,Female,24 h,6203,Family,0.85
The weekend starts,All day,45-54 years old,Chinese,Male,24 h,6204,Exercise,0.699
No moment of happiness,A few minutes,45-54 years old,Chinese,Female,24 h,6205,Family,0.507
One happy moment in the past 24 hours was texting my sister,At least one hour,45-54 years old,Chinese,Female,24 h,6206,Romance|Entertainment|Family,0.6|0.591|0.572
I had my favourite food,At least one hour,18-24 years old,Chinese,Female,24 h,6207,Food,0.835
I received a bouquet of flowers and lovely design cake and a deebot vacuum cleaner on mothers day,All day,55-64 years old,Malay,Female,24 h,6208,Family,0.818
"I had a fun session with my 3 nephews, all in their late teens when I bought a yogurt drink with was contained in a milk feeding bottle.  They had a good laugh as they tried to recall the last time they used it to drink it was when they were still toddlers.",I'm still feeling it,45-54 years old,Chinese,Female,24 h,6209,Food|Family,0.694|0.691
When I prayed to God and felt that nothing is lost.,I'm still feeling it,45-54 years old,Indian,Male,24 h,6210,,
| taking care of my two grandaughters.,Half a day,65+ years old,Chinese,Female,24 h,6211,Family,0.742
"I work part time care assistant in hospital, it's very good feeling when your patients recover and go home. Life move on then",A few minutes,55-64 years old,Chinese,Male,24 h,6212,,
I was quite happy when I received my 3rd year undergraduate results in that I did extremely well,I'm still feeling it,18-24 years old,Chinese,Male,24 h,6213,Education,0.684
Celebrating Mother�s Day with my family.,I'm still feeling it,55-64 years old,Chinese,Female,24 h,6214,Family,0.831
"One happy moment in the past 24 hours was when I completed all my tasks for the day. I think that whenever I manage to be on task and submit everything that I have to do, I don't just feel a sense of relief, but also some happiness that comes along with it.",I'm still feeling it,18-24 years old,Chinese,Female,24 h,6215,,
Cooking for my family,At least one hour,45-54 years old,Chinese,Male,24 h,6216,Food|Family,0.886|0.81
"Had been working, have not felt happy moment yet.",Other|,45-54 years old,Chinese,Male,24 h,6217,,
Seeing the post of my cute grandson in my daughter in law's I tangram,At least one hour,55-64 years old,Chinese,Female,24 h,6218,Family,0.899
One happy moment is when my dad is feeling better.,At least one hour,45-54 years old,Chinese,Male,24 h,6219,Family,0.747
The day I graduated from school,All day,45-54 years old,Chinese,Female,24 h,6220,Family|Education,0.691|0.577
When I learned that I dont have work in the morning for the last 3 days of the week.,A few minutes,55-64 years old,Chinese,Female,24 h,6221,Family,0.517
I made some money from crypto trading.,Half a day,25-34 years old,Chinese,Male,24 h,6222,Career,0.895
I was praised by my boss,At least one hour,55-64 years old,Chinese,Female,24 h,6223,,
i was able to sing karaoke at home,All day,25-34 years old,Chinese,Male,24 h,6224,,
When things goes smoothly as planned,A few minutes,45-54 years old,Chinese,Male,24 h,6225,Exercise,0.542
"one happy moment in the past 24 hours was, a mother's day treat from Amanda Lee.",All day,65+ years old,Chinese,Female,24 h,6226,Family,0.803
I could clear some candies on my phone.,A few minutes,45-54 years old,Chinese,Male,24 h,6227,,
30 minutes ago I was very happy that my son was able to do his Chinese spelling without any error.,At least one hour,45-54 years old,Chinese,Male,24 h,6228,Family,0.567
When I successfully made lemon curd and almond butter at home.,At least one hour,25-34 years old,Chinese,Female,24 h,6229,Food,0.683
My investment are doing well.,At least one hour,45-54 years old,Chinese,Female,24 h,6230,Career|Family,0.569|0.541
Today when i went to a game cafe to play console games with my friends.,Half a day,18-24 years old,Chinese,Male,24 h,6231,Family,0.589
The day I bacomes a father,All day,45-54 years old,Chinese,Male,24 h,6232,Family,0.927
won a game.,At least one hour,18-24 years old,Chinese,Male,24 h,6233,,
"While I was deep sleep my son and grandchildren came to my room and wish me Happy Mother's day, hugging me and give kiss. Each one of them they extended their love and brought their gifts to me",All day,55-64 years old,Indian,Female,24 h,6234,Family,0.869
I watched a funny Indian movie,At least one hour,55-64 years old,Chinese,Female,24 h,6235,,
I am exercising,At least one hour,55-64 years old,Chinese,Female,24 h,6236,Exercise,0.501
"My daughter and my son had arranged my birthday today,I felt touching and happy,cause this is my second blowing cake",A few minutes,55-64 years old,Chinese,Female,24 h,6237,Family,0.81
Having a meal with the whole family,At least one hour,45-54 years old,Chinese,Female,24 h,6238,Food|Family,0.798|0.714
My happy moments daily is when I am in prayer with the lord,At least one hour,45-54 years old,Other|,Male,24 h,6239,Family,0.528
we managed to celebrate Mother's Day even though we are back in phase 2.,A few minutes,65+ years old,Chinese,Male,24 h,6240,Family,0.836
The plant I had been looking start flowering,A few minutes,55-64 years old,Chinese,Female,24 h,6241,Exercise,0.501
Football seems to be my only entertainment during these uncertain times. So i was pleasantly happy in the last 24hrs when the result of a match was positive for me.,A few minutes,45-54 years old,Chinese,Male,24 h,6242,,
I spent quality time with my girlfriend,All day,25-34 years old,Chinese,Male,24 h,6243,Family,0.757
Be able to catch up with friends over a meal.,At least one hour,55-64 years old,Chinese,Male,24 h,6244,Food,0.598
I have dinner with my extended family,All day,45-54 years old,Chinese,Female,24 h,6245,Food|Family,0.768|0.685
"one happy moment in the recent 24 hours was when i went out with my boyfriend this afternoon and we had a nice, lighthearted time sharing jokes with each other.",Half a day,18-24 years old,Chinese,Female,24 h,6246,Family|Entertainment|Romance,0.625|0.566|0.531
I have dinner with my wife and daughter to celebrate my birthday.,At least one hour,45-54 years old,Chinese,Male,24 h,6247,Food|Family,0.57|0.524
One happy moment in the past 24 hours was when I was reading my book and I was so immersed in it my surroundings just fell away and with it all of my worries,At least one hour,18-24 years old,Chinese,Female,24 h,6248,Entertainment|Romance,0.623|0.525
"I had a very enjoyable last evening celebration of ""Mother's Day"" with my wife, my son, daughter-law, grandson and other siblings.",I'm still feeling it,65+ years old,Chinese,Male,24 h,6249,Family,0.863
live happily,I'm still feeling it,45-54 years old,Indian,Male,24 h,6250,,
I had a good time playing games with my sister.,At least one hour,45-54 years old,Chinese,Female,24 h,6251,Family|Entertainment|Conversation,0.823|0.566|0.523
Spending time with my lovebird.,A few minutes,18-24 years old,Chinese,Prefer not to say,24 h,6252,Family,0.699
Playing with my grandson and video chat with my youngest daughter,Half a day,55-64 years old,Chinese,Male,24 h,6253,Family,0.889
Eating home cooked foods by my wife,At least one hour,65+ years old,Chinese,Male,24 h,6254,Food|Family,0.831|0.652
"WHen i went for a walk, then stopped for a while at my daughter's place playing with my grandchildren.",A few minutes,55-64 years old,Indian,Male,24 h,6255,Family,0.68
