moment,duration,age,race,gender,reflection
One happy moment in the past 24 hours was when I managed to help my friend with a task that he was working on.,A few minutes,45-54 years old,Chinese,Male,24 h
Not much work to be done ,Half a day,45-54 years old,Chinese,Male,24 h
One happy.moment was when my.son did well in his math test,All day,45-54 years old,Chinese,Female,24 h
I stepped away from my work cubicle after a 10-hour long shift doing work I had no interest in but was merely tolerating for the pay,A few minutes,55-64 years old,Chinese,Male,24 h
Having made a difference to other's life through volunteering.,I'm still feeling it,45-54 years old,Chinese,Male,24 h
Upon successful projects done.,At least one hour,55-64 years old,Chinese,Male,24 h
"Went for a long trail walk with my daughter yesterday for Mother's Day
",All day,45-54 years old,Chinese,Female,24 h
Spend the whole day with a close friend of mine to dissolve his problem ,Half a day,45-54 years old,Chinese,Male,24 h
No I was so depressed these days,Other:,35-44 years old,Chinese,Female,24 h
Playing with my son,A few minutes,45-54 years old,Chinese,Female,24 h
"I celebrated Mother's Day with my mum, siblings and my daughters.",At least one hour,45-54 years old,Chinese,Female,24 h
I have completed a 2 days course,Half a day,45-54 years old,Chinese,Male,24 h
I managed to bake a butter cake on my own without my mother's help.,At least one hour,45-54 years old,Chinese,Female,24 h
"Happy to see my twin grand-nieces growing taller, playful, getting to know words, speaking intelligently.",I'm still feeling it,55-64 years old,Chinese,Male,24 h
The happiest monent was our first holiday together as a married couple to UK.,At least one hour,55-64 years old,Chinese,Female,24 h
my dad gave me my first dog. ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
I saw a lost 5 year old girl in tears in the hypermart and lead her to the Customer Service counter where she reunited with her mother,At least one hour,45-54 years old,Chinese,Female,24 h
Having dinner with my family ,I'm still feeling it,55-64 years old,Chinese,Male,24 h
i buy sales item.,A few minutes,55-64 years old,Chinese,Female,24 h
Able to mingle fantastically well with customers,All day,45-54 years old,Chinese,Female,24 h
I am happy that I was able to go out on Sunday with my friends as I have been confined at home as my mum was not well since March 2021.,Half a day,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24hours is spending time with my bf playing game ,All day,18-24 years old,Chinese,Female,24 h
i was able to fall in sleep on time and gain enough sleep over the weekend.,At least one hour,25-34 years old,Chinese,Male,24 h
The dinner food bought was better than expected.,A few minutes,45-54 years old,Malay,Male,24 h
one happy moment in the past 24 hours was when my friend celebrated my birthday and gave me a birthday present,I'm still feeling it,18-24 years old,Chinese,Male,24 h
Playing with partner,At least one hour,45-54 years old,Chinese,Female,24 h
"I made love to a beautiful lady
I tasted the best wine",All day,45-54 years old,Chinese,Male,24 h
I managed to successfully profit from my Bitcoin online trades.,All day,25-34 years old,Malay,Male,24 h
Spending quality time with the family. ,Half a day,55-64 years old,Chinese,Male,24 h
"i dont think i had a happy moment in the past 24 hours except maybe when i was eating snacks. but is that really happiness? its just food, and i ate too much.",A few minutes,18-24 years old,Chinese,Female,24 h
"Life isn't that bad, with friends and my families along",A few minutes,45-54 years old,Chinese,Male,24 h
Getting out of the house for an unscheduled evening walk,At least one hour,55-64 years old,Chinese,Male,24 h
funny way of talking by son,A few minutes,45-54 years old,Chinese,Male,24 h
the day I make my early retirement come true,I'm still feeling it,65+ years old,Chinese,Female,24 h
Spending the whole day lazing in bed and watching drama,All day,18-24 years old,Chinese,Female,24 h
none I can think of,Other:,55-64 years old,Chinese,Male,24 h
My husband wants a cuddle and loving moment with me after work.,I'm still feeling it,25-34 years old,Malay,Female,24 h
I have learned how to make my ice cream and also very happy that I am also successful make my own jam for daily breakfast spread.,At least one hour,55-64 years old,Chinese,Female,24 h
My health continues to be healthy ,All day,55-64 years old,Chinese,Male,24 h
I received some pleasant photos of overseas friends hiking in a natural setting.,A few minutes,55-64 years old,Other:,Male,24 h
My wife got accepted in a masters programme.,Half a day,45-54 years old,Other:,Male,24 h
my crush kissed me ,All day,18-24 years old,Chinese,Female,24 h
when i get married and delivered my child successfuly,I'm still feeling it,25-34 years old,Other:,Female,24 h
I finished a tiring event that i have been planning for over 1 year.,A few minutes,18-24 years old,Chinese,Male,24 h
I am happy that I am still alive and I am able to do any activities with good health and mobility...,I'm still feeling it,55-64 years old,Chinese,Female,24 h
Having the good moments in time with friends as well as family.,I'm still feeling it,45-54 years old,Malay,Male,24 h
To complete my house work and have time to rest,I'm still feeling it,55-64 years old,Chinese,Female,24 h
Completed a 10km run last evening and was happy about it. Likely due to the endorphins released.,At least one hour,55-64 years old,Chinese,Male,24 h
Recently my niece invited me to a movie. I am happy and look forward to it as ii have not seen a movie for a few years. ,All day,55-64 years old,Chinese,Female,24 h
My boss praised me for doing a good job at work. ,A few minutes,45-54 years old,Chinese,Male,24 h
"My daughter coming up with jokes
Called for an interview ",I'm still feeling it,45-54 years old,Indian,Female,24 h
One happy moment when my application for course is successful,At least one hour,45-54 years old,Chinese,Female,24 h
"Chatting in the car with my son and hubby,little jokes made me happy and contented.",All day,45-54 years old,Chinese,Female,24 h
Cant remember,A few minutes,65+ years old,Chinese,Female,24 h
"I received a new photo of a friends child, whom we love. Very happy to see him in a naughty mood.",I'm still feeling it,65+ years old,Indian,Male,24 h
mother day celebration for me,Half a day,45-54 years old,Chinese,Female,24 h
"Met up with good old friends and enjoying few glasses of beer, recollecting happy moments during our younger days.",Half a day,55-64 years old,Chinese,Male,24 h
cannot recall any,Other:,45-54 years old,Chinese,Female,24 h
My wife and kids joked and fool around with me just before bedtime.,At least one hour,45-54 years old,Chinese,Male,24 h
"First moment:
The very first moment in the past 24 hours was when in coincide with Mother's Day...We got a very very suprised message from my only daughter that she is expecting another child. Truly A Blessing! Amiin...🙏",I'm still feeling it,55-64 years old,Other:,Male,24 h
My most happy moments for the past 24 hours is the feel of having a intimidating together-ness with romantic feeling.,I'm still feeling it,55-64 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when eating my favorite ice-cream while watching TV.,A few minutes,45-54 years old,Chinese,Female,24 h
Grandson came to visit me,All day,65+ years old,Chinese,Male,24 h
"First event happened yesterday, was the first time my daughter treat me a mother's day dinner.",I'm still feeling it,45-54 years old,Chinese,Female,24 h
I know I have control over my health.,I'm still feeling it,55-64 years old,Chinese,Male,24 h
"MY SON'S WEDDING WHICH WAS HELD RECENTLY. DESPITE THE PANDEMIC, HE MANAGED TO PULL IT OFF BESUTIFULLY. ",All day,55-64 years old,Chinese,Male,24 h
Able to match the buyer n seller requirements for small transaction to move forward,I'm still feeling it,65+ years old,Chinese,Female,24 h
I strike 4D in yesterday's draw,All day,55-64 years old,Chinese,Male,24 h
Reading an article relating to a charitable act by a common citizen,A few minutes,45-54 years old,Chinese,Female,24 h
when celebrating a birthday with the whole family,Half a day,55-64 years old,Chinese,Male,24 h
When everything goes as plan with no hiccups and disasters,Half a day,65+ years old,Chinese,Female,24 h
One happy moment in the past 24 hours was when I enjoyed a shared meal with 4 other friends who also like spicy food.,I'm still feeling it,25-34 years old,Chinese,Female,24 h
"I had Korean for lunch, I got my proposed FYP",At least one hour,18-24 years old,Chinese,Female,24 h
When my children wish me happy mother’s day,A few minutes,45-54 years old,Chinese,Female,24 h
Happy and contented ,I'm still feeling it,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I saw my son sleeping peaceful.,I'm still feeling it,25-34 years old,Malay,Female,24 h
Good bonding time with my sons on Mother's Day.,All day,55-64 years old,Chinese,Female,24 h
No happy moments last 2 days,Other:,45-54 years old,Chinese,Female,24 h
Sunday worship service,Half a day,45-54 years old,Chinese,Female,24 h
my boy spoke at length with me about something he enjoyed very much.,At least one hour,45-54 years old,Chinese,Male,24 h
When I was at my grandma house spending time with her. she remembered things that she have already forgotten and that made me very happy,I'm still feeling it,18-24 years old,Indian,Female,24 h
earn reward from survey ,All day,55-64 years old,Chinese,Male,24 h
The day my daughter graduation at NUS. I get my bonus last month. ,All day,55-64 years old,Chinese,Male,24 h
"Every moment is happy, not just one or two occasions. so can't really name a few...",I'm still feeling it,45-54 years old,Chinese,Male,24 h
I went for our usual relaxing Sunday walk with my kids. We recce the Chestnut trial and had lunch at Subway after the walk. It was Mother's Day and my kids randomly wished my. I like that there was no effort put in but it came straight from their hearts whilst we were eating. ,I'm still feeling it,45-54 years old,Chinese,Female,24 h
I am happy and contented that my children have grown up and able to care for their family.,I'm still feeling it,65+ years old,Chinese,Male,24 h
Having lunch with my family.,At least one hour,18-24 years old,Chinese,Male,24 h
knowing a friend has solve his problem,At least one hour,65+ years old,Chinese,Female,24 h
"One happy moment in the past 24 hours was when I went out with my friends for a meal because Covid-19 has limited outings and venues for enjoyment, so every moment with friends is more special than before.",At least one hour,55-64 years old,Other:,Male,24 h
Watching my 1-year old grandson take his first step (unsupported) ,At least one hour,55-64 years old,Chinese,Female,24 h
the family celebrated mothers day for me. They showered me with lots of love. Really appreciate that moment of surprise. ,I'm still feeling it,65+ years old,Chinese,Female,24 h
I had good with 2 friends we go swimming ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
With my grandson ,At least one hour,55-64 years old,Chinese,Male,24 h
When I won first place in an online game.,A few minutes,18-24 years old,Chinese,Female,24 h
I saw a little mynah on a grass patch chirping loudly and seeming to enjoy the sun.,A few minutes,55-64 years old,Chinese,Female,24 h
things went in my favour and in quick time.,A few minutes,55-64 years old,Chinese,Male,24 h
I was able to make a deal to someone,A few minutes,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when Chelsea won against Manchester City in the final minutes. I won some money.,All day,18-24 years old,Chinese,Male,24 h
I managed to get my court booking.,A few minutes,55-64 years old,Chinese,Male,24 h
My happy moment is when my students asked why I did not come in to teach them on one of the days.,Half a day,45-54 years old,Other:,Female,24 h
One happy moment in the past 24 hours was when I woke up early enough to eat breakfast with my parents. ,All day,18-24 years old,Chinese,Female,24 h
When my 2 boys prayed together with me.,A few minutes,45-54 years old,Other:,Female,24 h
Met my favourite Supermarket staff while shopping. ,At least one hour,55-64 years old,Chinese,Male,24 h
 WHENEVER I RECEIVED NEWS OF ANY ABSENTED FAMILY MEMBERS I BECAME EXCITED AND HAPPY WITHIN ME.,I'm still feeling it,65+ years old,Chinese,Female,24 h
Getting my chores done,At least one hour,45-54 years old,Chinese,Female,24 h
i can get the peace i want and everyone near me is also enjoying the joy and happiness I am going through,I'm still feeling it,45-54 years old,Chinese,Male,24 h
My daughter returned safely from a 15_day conservation trip. It was a hardship tour with little resources on the island off Western Australia. ,Half a day,55-64 years old,Chinese,Female,24 h
Getting a new job,I'm still feeling it,45-54 years old,Chinese,Male,24 h
my children looked so happy doing a selfie with me celebrating mother's day with a cake !,All day,65+ years old,Chinese,Female,24 h
The weekend starts,All day,45-54 years old,Chinese,Male,24 h
No moment of happiness,A few minutes,45-54 years old,Chinese,Female,24 h
One happy moment in the past 24 hours was texting my sister,At least one hour,45-54 years old,Chinese,Female,24 h
I had my favourite food,At least one hour,18-24 years old,Chinese,Female,24 h
I received a bouquet of flowers and lovely design cake and a deebot vacuum cleaner on mothers day,All day,55-64 years old,Malay,Female,24 h
"I had a fun session with my 3 nephews, all in their late teens when I bought a yogurt drink with was contained in a milk feeding bottle.  They had a good laugh as they tried to recall the last time they used it to drink it was when they were still toddlers. ",I'm still feeling it,45-54 years old,Chinese,Female,24 h
When I prayed to God and felt that nothing is lost.,I'm still feeling it,45-54 years old,Indian,Male,24 h
: taking care of my two grandaughters.,Half a day,65+ years old,Chinese,Female,24 h
"I work part time care assistant in hospital, it's very good feeling when your patients recover and go home. Life move on then",A few minutes,55-64 years old,Chinese,Male,24 h
I was quite happy when I received my 3rd year undergraduate results in that I did extremely well,I'm still feeling it,18-24 years old,Chinese,Male,24 h
Celebrating Mother’s Day with my family. ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
"One happy moment in the past 24 hours was when I completed all my tasks for the day. I think that whenever I manage to be on task and submit everything that I have to do, I don't just feel a sense of relief, but also some happiness that comes along with it.",I'm still feeling it,18-24 years old,Chinese,Female,24 h
Cooking for my family,At least one hour,45-54 years old,Chinese,Male,24 h
"Had been working, have not felt happy moment yet.",Other:,45-54 years old,Chinese,Male,24 h
Seeing the post of my cute grandson in my daughter in law's I tangram ,At least one hour,55-64 years old,Chinese,Female,24 h
One happy moment is when my dad is feeling better.,At least one hour,45-54 years old,Chinese,Male,24 h
The day I graduated from school,All day,45-54 years old,Chinese,Female,24 h
When I learned that I dont have work in the morning for the last 3 days of the week.,A few minutes,55-64 years old,Chinese,Female,24 h
I made some money from crypto trading.,Half a day,25-34 years old,Chinese,Male,24 h
I was praised by my boss,At least one hour,55-64 years old,Chinese,Female,24 h
i was able to sing karaoke at home,All day,25-34 years old,Chinese,Male,24 h
When things goes smoothly as planned,A few minutes,45-54 years old,Chinese,Male,24 h
"one happy moment in the past 24 hours was, a mother's day treat from Amanda Lee.",All day,65+ years old,Chinese,Female,24 h
I could clear some candies on my phone.,A few minutes,45-54 years old,Chinese,Male,24 h
30 minutes ago I was very happy that my son was able to do his Chinese spelling without any error.,At least one hour,45-54 years old,Chinese,Male,24 h
When I successfully made lemon curd and almond butter at home. ,At least one hour,25-34 years old,Chinese,Female,24 h
My investment are doing well. ,At least one hour,45-54 years old,Chinese,Female,24 h
Today when i went to a game cafe to play console games with my friends.,Half a day,18-24 years old,Chinese,Male,24 h
The day I bacomes a father,All day,45-54 years old,Chinese,Male,24 h
won a game.,At least one hour,18-24 years old,Chinese,Male,24 h
"While I was deep sleep my son and grandchildren came to my room and wish me Happy Mother's day, hugging me and give kiss. Each one of them they extended their love and brought their gifts to me",All day,55-64 years old,Indian,Female,24 h
I watched a funny Indian movie,At least one hour,55-64 years old,Chinese,Female,24 h
I am exercising ,At least one hour,55-64 years old,Chinese,Female,24 h
"My daughter and my son had arranged my birthday today,I felt touching and happy,cause this is my second blowing cake",A few minutes,55-64 years old,Chinese,Female,24 h
Having a meal with the whole family,At least one hour,45-54 years old,Chinese,Female,24 h
My happy moments daily is when I am in prayer with the lord,At least one hour,45-54 years old,Other:,Male,24 h
we managed to celebrate Mother's Day even though we are back in phase 2.,A few minutes,65+ years old,Chinese,Male,24 h
The plant I had been looking start flowering,A few minutes,55-64 years old,Chinese,Female,24 h
Football seems to be my only entertainment during these uncertain times. So i was pleasantly happy in the last 24hrs when the result of a match was positive for me.,A few minutes,45-54 years old,Chinese,Male,24 h
I spent quality time with my girlfriend ,All day,25-34 years old,Chinese,Male,24 h
Be able to catch up with friends over a meal.,At least one hour,55-64 years old,Chinese,Male,24 h
I have dinner with my extended family,All day,45-54 years old,Chinese,Female,24 h
"one happy moment in the recent 24 hours was when i went out with my boyfriend this afternoon and we had a nice, lighthearted time sharing jokes with each other. ",Half a day,18-24 years old,Chinese,Female,24 h
I have dinner with my wife and daughter to celebrate my birthday.,At least one hour,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when I was reading my book and I was so immersed in it my surroundings just fell away and with it all of my worries,At least one hour,18-24 years old,Chinese,Female,24 h
"I had a very enjoyable last evening celebration of ""Mother's Day"" with my wife, my son, daughter-law, grandson and other siblings.",I'm still feeling it,65+ years old,Chinese,Male,24 h
live happily,I'm still feeling it,45-54 years old,Indian,Male,24 h
I had a good time playing games with my sister.,At least one hour,45-54 years old,Chinese,Female,24 h
Spending time with my lovebird.,A few minutes,18-24 years old,Chinese,Prefer not to say,24 h
Playing with my grandson and video chat with my youngest daughter,Half a day,55-64 years old,Chinese,Male,24 h
Eating home cooked foods by my wife,At least one hour,65+ years old,Chinese,Male,24 h
"WHen i went for a walk, then stopped for a while at my daughter's place playing with my grandchildren. ",A few minutes,55-64 years old,Indian,Male,24 h
One happy moment in the past 24 hours was when I finished watching the drama I want. ,A few minutes,18-24 years old,Chinese,Female,24 h
saw a happy couple,A few minutes,45-54 years old,Chinese,Male,24 h
One happy moment in the past 24 hrs was when the entire family is gathered together to play mahjong with me coz they are concerned about my health. ,All day,65+ years old,Chinese,Female,24 h
When I was watching TV with my wife watching running man we both laugh and I am very happy spending time with her,A few minutes,25-34 years old,Chinese,Male,24 h
Feel happy all the time,At least one hour,55-64 years old,Chinese,Male,24 h
"First Moment: Completing one of my project tasks quicker than I expected
Second moment: Eating out with family",A few minutes,18-24 years old,Chinese,Male,24 h
I thought about how I went out with a guy I met on dating app yesterday. ,A few minutes,18-24 years old,Chinese,Female,24 h
I was happy when I heard the good news,At least one hour,65+ years old,Chinese,Female,24 h
I had a hot pot meal with my wife and son and they really enjoyed the meal together with me.,At least one hour,65+ years old,Chinese,Male,24 h
I managed to purchase something online and it arrived the next day.,I'm still feeling it,65+ years old,Indian,Female,24 h
Able to complete my tasks in the office.,At least one hour,55-64 years old,Chinese,Female,24 h
Upon returning home,At least one hour,45-54 years old,Chinese,Male,24 h
The happy moment was realising that my phelgm had reduced considerably although it was still present.,A few minutes,45-54 years old,Chinese,Female,24 h
Happiness was when getting what I desire after longing for few years,I'm still feeling it,45-54 years old,Chinese,Male,24 h
Received my mother's day gift from my children. ,I'm still feeling it,55-64 years old,Chinese,Female,24 h
"one such moment was me trying to register to Trace Together apps. Keep prompting that my IC did not exist.
Was finally resolved.
make my day",I'm still feeling it,45-54 years old,Chinese,Female,24 h
this is just a test case ,I'm still feeling it,35-44 years old,Chinese,Male,24 h
I am going to be a grandmother soon,I'm still feeling it,55-64 years old,Chinese,Female,24 h
able to assist to circulate flyers to inform residents in my estate on some new oncoming community events.,A few minutes,65+ years old,Chinese,Male,24 h
"i make myself happy, my clothes fit me well, my make up is on point i am happy ",I'm still feeling it,35-44 years old,Indian,Female,24 h
gaming session,At least one hour,25-34 years old,Chinese,Female,24 h
I managed to complete a very difficult task in my school project. ,A few minutes,18-24 years old,Chinese,Female,24 h
I had my breakfast with someone I like,At least one hour,35-44 years old,Chinese,Female,24 h
"In the past 24 hours, I worked with my new team at the workplace and they are really nice and supportive.",All day,25-34 years old,Chinese,Female,24 h
travelling to hongkong and taiwan for holiday to relax and enjoy,At least one hour,65+ years old,Chinese,Female,24 h
"Happy moment was my son which is ASD is improving in his motor skill , and tends to be more cheerful and happy as before",All day,35-44 years old,Chinese,Male,24 h
My cooking skills was able to improve ,At least one hour,25-34 years old,Chinese,Male,24 h
1. Having a funny conversation with my boyfriend ,A few minutes,35-44 years old,Chinese,Female,24 h
My happest moment was the get together with my grand children which I missed interaactin with them since the pandemic started.  We enjoyed eating and talking together.,Half a day,65+ years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when my mom finally got an internet connection and i can communicate with her online,I'm still feeling it,35-44 years old,Chinese,Male,24 h
good news at work,A few minutes,25-34 years old,Chinese,Male,24 h
One happy moment in the last 24 hours was when I received an alert of $500 signapore dollars from a friend willingly,At least one hour,25-34 years old,Malay,Male,24 h
I hear my mom's laughter.,A few minutes,18-24 years old,Chinese,Female,24 h
Came back yesterday and found the laundry all done and hung up. Was really tired after a hard day's work and was not really forward to doing household chores. Was pleasantly surprised that at least the laundry was done. Made me gappy,A few minutes,55-64 years old,Chinese,Female,24 h
my son came to spend time with me and helped me manage my retirement funds.,All day,55-64 years old,Chinese,Female,24 h
I managed to finish one level in an online video game.,At least one hour,25-34 years old,Malay,Male,24 h
To celebrate Mother’s Day with my wife and daughter ,Half a day,35-44 years old,Chinese,Male,24 h
Able to get projects ,At least one hour,35-44 years old,Chinese,Male,24 h
Happy that I am able save,A few minutes,65+ years old,Chinese,Male,24 h
One happy moment in the past 24 hours was when we going to the restaurant,At least one hour,25-34 years old,Chinese,Male,24 h
When my daughter gained admissions to a university,A few minutes,35-44 years old,Malay,Male,24 h
when i celebrated my 21st irthday,At least one hour,25-34 years old,Chinese,Male,24 h
My child recover from fever,A few minutes,35-44 years old,Chinese,Female,24 h
The day I got my drivers license.,Half a day,35-44 years old,Chinese,Female,24 h
I finished a book I was reading,A few minutes,55-64 years old,Chinese,Male,24 h
When my grandchildren’s came over and the house becomes very busy ,I'm still feeling it,65+ years old,Chinese,Male,24 h
I met my friends who I have not seen for about 4 months.,Half a day,18-24 years old,Chinese,Female,24 h
I saw my ex already move on.,A few minutes,25-34 years old,Chinese,Male,24 h
I had a girlfriend in my first of my life ,A few minutes,55-64 years old,Chinese,Female,24 h
I received my payment ,All day,35-44 years old,Malay,Female,24 h
"First moment ""One of the most happy moment was graduating from my polytechnic school which my parents were proud of me and it was my greatest achievement in my life because my other schools results were bad and i though it was end for my future career.""",All day,18-24 years old,Chinese,Male,24 h
I was with my classmates/friends.,At least one hour,18-24 years old,Chinese,Male,24 h
